Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-01-02 00:00:00-05:00,206.8818912828187,208.58018493652344,206.47662067647403,208.58018493652344,30969400,0.0,0.0,0.0
2020-01-03 00:00:00-05:00,205.82048454628458,207.9143901637566,205.8011817380708,206.66961669921875,27518900,0.0,0.0,0.0
2020-01-06 00:00:00-05:00,205.0485393510555,208.0301828131006,204.79766173286254,208.00123596191406,21655300,0.0,0.0,0.0
2020-01-07 00:00:00-05:00,208.0784486683733,208.56091585733947,207.31615698824805,207.97230529785156,22139300,0.0,0.0,0.0
2020-01-08 00:00:00-05:00,207.94335612700655,210.49078226740906,207.61528197586097,209.53549194335938,26397300,0.0,0.0,0.0
2020-01-09 00:00:00-05:00,211.26270920456716,211.71622948458895,210.07584418761127,211.3109588623047,23547000,0.0,0.0,0.0
2020-01-10 00:00:00-05:00,212.14083443345314,212.1601225204312,210.3942907957239,210.77061462402344,21898500,0.0,0.0,0.0
2020-01-13 00:00:00-05:00,211.63908136109868,213.23121736432708,211.30134840345303,213.2022705078125,22756900,0.0,0.0,0.0
2020-01-14 00:00:00-05:00,213.096091976007,213.4531276870135,212.03467305684538,212.3627471923828,24418100,0.0,0.0,0.0
2020-01-15 00:00:00-05:00,212.47854707316574,213.4434814510854,211.75484628972598,212.44960021972656,25742100,0.0,0.0,0.0
2020-01-16 00:00:00-05:00,213.5110173575912,214.52420132053507,213.05749705726132,214.485595703125,18805000,0.0,0.0,0.0
2020-01-17 00:00:00-05:00,215.45054352083037,215.7207239647326,214.33121612538972,215.5470428466797,24325200,0.0,0.0,0.0
2020-01-21 00:00:00-05:00,214.9488067130603,215.9909377534523,214.85232209604553,215.45057678222656,21146300,0.0,0.0,0.0
2020-01-22 00:00:00-05:00,216.54090919161342,217.25495114843167,215.74965600043456,216.01983642578125,20736400,0.0,0.0,0.0
2020-01-23 00:00:00-05:00,215.89444465774338,216.81112946391033,214.89090455882229,216.71463012695312,26496100,0.0,0.0,0.0
2020-01-24 00:00:00-05:00,217.72780930476202,217.9593988739389,213.89701834988233,214.89089965820312,37436500,0.0,0.0,0.0
2020-01-27 00:00:00-05:00,210.03729523144546,211.59084039781587,209.56447201603453,210.4522247314453,42264400,0.0,0.0,0.0
2020-01-28 00:00:00-05:00,211.93817883387928,214.1768335804762,211.37851514723005,213.68470764160156,26731900,0.0,0.0,0.0
2020-01-29 00:00:00-05:00,214.87157741970216,215.11281101105197,213.0864576779516,214.03208923339844,28924500,0.0,0.0,0.0
2020-01-30 00:00:00-05:00,212.6522777460246,214.8909182131063,211.98647056041634,214.79443359375,39568100,0.0,0.0,0.0
2020-01-31 00:00:00-05:00,215.69173601362104,215.72068286111428,210.63547561137676,211.3881378173828,52015800,0.0,0.0,0.0
2020-02-03 00:00:00-05:00,212.42063417336837,215.07420347288854,212.2758999192497,214.58209228515625,25408600,0.0,0.0,0.0
2020-02-04 00:00:00-05:00,217.51550342739253,219.8699456406729,216.77249984152587,219.49362182617188,30691200,0.0,0.0,0.0
2020-02-05 00:00:00-05:00,222.13758648144568,222.1761773845251,218.89540584467008,220.2173614501953,38534800,0.0,0.0,0.0
2020-02-06 00:00:00-05:00,220.7673689303213,222.17617984994033,219.98577430163016,222.1182861328125,22467100,0.0,0.0,0.0
2020-02-07 00:00:00-05:00,221.124372969222,222.35948783634657,220.52610362277716,221.1629638671875,25884900,0.0,0.0,0.0
2020-02-10 00:00:00-05:00,220.4296285105335,223.84548999123973,220.3717347992263,223.83584594726562,21478900,0.0,0.0,0.0
2020-02-11 00:00:00-05:00,225.07092875721793,225.8139323016973,223.28579438669365,223.87440490722656,30198000,0.0,0.0,0.0
2020-02-12 00:00:00-05:00,225.19638479306101,226.16131914939604,224.63672109953913,226.05517578125,24471300,0.0,0.0,0.0
2020-02-13 00:00:00-05:00,224.4823519554018,226.6920453880955,224.2121714847772,225.76571655273438,22773200,0.0,0.0,0.0
2020-02-14 00:00:00-05:00,226.12273291006633,226.6245029410099,225.36044118166936,226.41221618652344,23438500,0.0,0.0,0.0
2020-02-18 00:00:00-05:00,225.31221909003062,226.92365803359104,225.07098545074794,226.49908447265625,24394500,0.0,0.0,0.0
2020-02-19 00:00:00-05:00,227.84993494020262,229.14294333428626,227.57975452125166,228.6701202392578,22230500,0.0,0.0,0.0
2020-02-20 00:00:00-05:00,228.16838436217873,228.64119277356423,223.74898324361197,226.5472869873047,42604000,0.0,0.0,0.0
2020-02-21 00:00:00-05:00,225.4183117318674,225.80427957833365,221.27874989215798,222.1954345703125,66017200,0.0,0.0,0.0
2020-02-24 00:00:00-05:00,213.9066555585697,216.38654409000196,212.53645044645282,213.6268310546875,84522600,0.0,0.0,0.0
2020-02-25 00:00:00-05:00,215.42160464835848,216.1356614043988,207.21001821068182,207.8179168701172,97743000,0.0,0.0,0.0
2020-02-26 00:00:00-05:00,209.11095309502306,212.555761457423,207.36440935624285,208.88900756835938,79537700,0.0,0.0,0.0
2020-02-27 00:00:00-05:00,203.50464161533938,208.83108316911995,198.29400219176284,198.42909240722656,121822600,0.0,0.0,0.0
