Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,66.86783552352698,67.8730239868164,66.77262179859589,67.8730239868164,27278000,0.0,0.0
2020-01-03 00:00:00-05:00,66.8475211362902,68.12446593619062,66.81379565868565,67.51797485351562,23408000,0.0,0.0
2020-01-06 00:00:00-05:00,67.02751808217074,69.34288486446046,66.9962821053439,69.31759643554688,46768000,0.0,0.0
2020-01-07 00:00:00-05:00,69.44900962487809,69.59976407326137,69.00765768436452,69.18370056152344,34330000,0.0,0.0
2020-01-08 00:00:00-05:00,69.16931180182212,70.01383328257931,69.06071230813146,69.6761245727539,35314000,0.0,0.0
2020-01-09 00:00:00-05:00,70.51369507317621,70.84842998736566,69.93250016192401,70.40757751464844,33200000,0.0,0.0
2020-01-10 00:00:00-05:00,70.887623572567,71.15888019723822,70.39816911178163,70.8623275756836,26258000,0.0,0.0
2020-01-13 00:00:00-05:00,71.17425376918445,71.4832009224904,70.68430742640342,71.41130065917969,30730000,0.0,0.0
2020-01-14 00:00:00-05:00,71.40980138157744,71.54022369151787,70.80331039967703,70.94316101074219,26076000,0.0,0.0
2020-01-15 00:00:00-05:00,71.06365964443332,71.44847959482189,70.99621627063644,71.37012481689453,21550000,0.0,0.0
2020-01-16 00:00:00-05:00,71.6800692002155,71.94042198348346,71.40980383677255,71.91364288330078,26080000,0.0,0.0
2020-01-17 00:00:00-05:00,72.52755882003636,73.42067465653932,72.23051437982828,73.36959838867188,52424000,0.0,0.0
2020-01-21 00:00:00-05:00,73.34383083740128,73.88337797984266,72.90793449655817,73.5050048828125,48930000,0.0,0.0
2020-01-22 00:00:00-05:00,73.87591692725086,74.41396566579424,73.5253143022731,73.58531188964844,28458000,0.0,0.0
2020-01-23 00:00:00-05:00,73.76780203530112,74.06286392107879,73.40926181542616,73.62596893310547,26650000,0.0,0.0
2020-01-24 00:00:00-05:00,74.02914675123824,74.097581382054,72.559292859008,72.70757293701172,29786000,0.0,0.0
2020-01-27 00:00:00-05:00,70.99025883294016,71.24019200091527,70.3931886981462,70.99967956542969,34132000,0.0,0.0
2020-01-28 00:00:00-05:00,71.49608309873746,72.14373017574707,70.93174708981847,71.93049621582031,29724000,0.0,0.0
2020-01-29 00:00:00-05:00,72.32523692514812,72.60691311591184,71.6770979293156,72.23796081542969,21566000,0.0,0.0
2020-01-30 00:00:00-05:00,71.31557167668379,72.16604067283447,71.16184346943253,72.116455078125,27110000,0.0,0.0
2020-01-31 00:00:00-05:00,72.79136985685548,72.88112787586384,70.76809153712954,71.05175018310547,43822000,0.0,0.0
2020-02-03 00:00:00-05:00,72.48342482845398,73.70582753071683,72.23349161238843,73.5223388671875,71636000,0.0,0.0
2020-02-04 00:00:00-05:00,72.12835848746417,72.76558597572388,70.51866160482743,71.6780776977539,95880000,0.0,0.0
2020-02-05 00:00:00-05:00,72.58062487826129,72.6287273771318,70.89803624268711,71.70982360839844,36376000,0.0,0.0
2020-02-06 00:00:00-05:00,72.00388927199774,73.4707694622342,71.92950709001718,73.19355773925781,37822000,0.0,0.0
2020-02-07 00:00:00-05:00,72.7680635245262,73.65374104853788,72.66987603102721,73.34925842285156,28360000,0.0,0.0
2020-02-10 00:00:00-05:00,73.25605339560026,74.82557815384178,73.15538394851609,74.81466674804688,38302000,0.0,0.0
2020-02-11 00:00:00-05:00,75.04327053759313,75.86696810584262,74.65547678552417,74.88408660888672,34852000,0.0,0.0
2020-02-12 00:00:00-05:00,75.17170572454793,75.39188605793423,74.81515553865327,75.30907440185547,31042000,0.0,0.0
2020-02-13 00:00:00-05:00,74.88109681308607,75.67205999735403,74.58355300430597,75.04920959472656,22914000,0.0,0.0
2020-02-14 00:00:00-05:00,75.1057482210196,75.37948673334321,74.66042372612603,75.31402587890625,23198000,0.0,0.0
2020-02-18 00:00:00-05:00,75.09633617170891,75.90068528400265,74.93119712969819,75.3492431640625,25642000,0.0,0.0
2020-02-19 00:00:00-05:00,75.73405324495363,75.90960425641619,75.42560557770153,75.6185073852539,22746000,0.0,0.0
2020-02-20 00:00:00-05:00,75.32790743593482,75.72760378166284,74.5964499569271,75.22773742675781,25962000,0.0,0.0
2020-02-21 00:00:00-05:00,74.61233071932669,74.92822421575049,73.31852714783577,73.56498718261719,42520000,0.0,0.0
2020-02-24 00:00:00-05:00,70.56924154888083,71.23028195609393,69.76290996883232,70.41104888916016,49560000,0.0,0.0
2020-02-25 00:00:00-05:00,70.96349127440813,71.25358934741597,68.45522273304678,68.747802734375,51580000,0.0,0.0
2020-02-26 00:00:00-05:00,69.17725919757333,70.1041006176885,68.26331169909781,68.95360565185547,49776000,0.0,0.0
2020-02-27 00:00:00-05:00,67.39994084412521,67.90873614395468,65.17334092529835,65.20854949951172,62290000,0.0,0.0
2020-02-28 00:00:00-05:00,63.193204492422396,66.5722739739755,62.89070436777219,66.41358947753906,80198000,0.0,0.0
