date,positive_score,negative_score,neutral_score,compound_score,article_count
2026-02-18,0.2098,0.0,0.7902,0.42552,5
2026-02-19,0.2076,0.029599999999999998,0.7628,0.33321,10
2026-02-20,0.09199999999999998,0.0,0.908,0.19821428571428573,7
2026-02-21,0.1568,0.011133333333333334,0.8320666666666666,0.27888,15
2026-02-22,0.1758,0.0698,0.7544000000000001,0.24980000000000002,10
2026-02-23,0.09875,0.0795,0.82175,0.08660000000000001,8
2026-02-24,0.1672857142857143,0.016,0.8167142857142856,0.3854285714285714,7
2026-02-25,0.182,0.0,0.818,0.39668571428571425,7
2026-02-26,0.09207692307692308,0.05861538461538462,0.8493076923076923,0.10050769230769231,13
2026-02-27,0.1912,0.05620000000000001,0.7524,0.20448,5
2026-03-01,0.14463636363636365,0.07027272727272728,0.7850909090909091,0.14072727272727273,11
2026-03-02,0.0,0.046200000000000005,0.9538,-0.11988000000000001,5
2026-03-03,0.16475,0.1635,0.67175,0.068,4
2026-03-04,0.08916666666666667,0.07983333333333334,0.831,0.024183333333333324,6
2026-03-05,0.17149999999999999,0.12133333333333333,0.707,0.04988333333333333,6
2026-03-06,0.11413333333333334,0.0328,0.8530666666666666,0.18770666666666666,15
2026-03-07,0.03,0.0425,0.927,-0.10115,2
2026-03-08,0.19085714285714286,0.023999999999999997,0.7852857142857143,0.38398571428571426,7
2026-03-09,0.064,0.0975,0.8385,-0.11315,2
2026-03-10,0.1207142857142857,0.0,0.8792857142857143,0.3109428571428571,7
2026-03-11,0.056999999999999995,0.030666666666666665,0.9123333333333333,0.09006666666666667,3
