,Open,High,Low,Close,Volume,RSI_14,MACD,MACD_Signal,MACD_Hist,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,BB_Upper,BB_Middle,BB_Lower,BB_Width,Momentum_10,Returns_1d,Returns_5d,ATR_14
2,28.299999237060547,28.713333129882812,28.11400032043457,28.68400001525879,142981500,,,,,,,,,,,,,,,,,0.0
3,29.36666679382324,30.266666412353516,29.128000259399418,29.534000396728516,266677500,,,,,,,,,,,,,,,0.02963325829792085,,0.0
4,29.364667892456055,30.104000091552734,29.333332061767575,30.1026668548584,151995000,,,,,,,,,,,,,,,0.01925463704513497,,0.0
5,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,268231500,,,,,,,,,,,,,,,0.03880052465815398,,0.0
6,31.579999923706055,33.232666015625,31.215333938598633,32.80933380126953,467164500,,,,,,,,,,,,,,,0.04920482578812169,,0.0
7,33.13999938964844,33.253334045410156,31.524667739868164,32.089332580566406,426606000,,,,,,,,,,,,,,,-0.021945011900097344,0.1187188873063767,0.0
8,32.11933135986328,32.3293342590332,31.579999923706055,31.87666702270508,194392500,,,,,,,,,,,,,,,-0.006627297633174156,0.07932100611185966,0.0
9,32.900001525878906,35.04199981689453,32.79999923706055,34.990665435791016,397764000,,,,,,,,,,,,,,,0.0976889588509331,0.16237759280599162,0.0
10,36.28400039672851,36.49399948120117,34.99333190917969,35.861331939697266,434943000,,,,,,,,,,,,,,,0.024882822120200876,0.14680422218338895,0.0
11,35.31733322143555,35.85599899291992,34.452667236328125,34.56666564941406,260532000,,,,,,,,,,,,,,,-0.03610201351305786,0.05356194852321372,0.0
12,32.91666793823242,34.297332763671875,32.81133270263672,34.232666015625,326050500,,,,,,,,,,,,,,19.344115177152883,-0.009662477636014799,0.06679270843908469,0.0
13,33.840667724609375,34.37799835205078,33.54399871826172,34.03333282470703,204436500,,,,,,,,,,,,,,15.234415817495917,-0.005822894156913949,0.0676565652383232,0.0
14,35.349998474121094,36.571998596191406,35.227333068847656,36.47999954223633,267052500,,,,,,,,,,,,,,21.18527477358261,0.07189030619278935,0.04256375487280417,0.0
15,38.125999450683594,39.633331298828125,37.27333450317383,37.97066879272461,470535000,81.17583158231814,,,,,,,,,,,,,21.425839296339365,0.04086264444061727,0.05881925569787283,1.653285299028669
16,37.616668701171875,38.79999923706055,37.040000915527344,38.14666748046875,294765000,81.51813345930515,,,,,,,,,,,,,16.267729517240898,0.004635122144013071,0.10356804059044,1.6609076577789927
17,38.04199981689453,38.25733184814453,36.95066833496094,37.654666900634766,215304000,77.28714709653217,,,,,,,,,,,,,17.343253575298032,-0.012897603180825445,0.09996302605960761,1.635604504593607
18,36.132667541503906,37.62933349609375,35.95199966430664,37.20133209228515,204121500,73.5016524447372,,,,,,,,,,,,,16.70395799469066,-0.012039272835579706,0.09308519044829655,1.640394699717501
19,37.89933395385742,38.45399856567383,37.2053337097168,37.793331146240234,176827500,75.20927255398382,,,,,,,,,,,,,8.009752531263516,0.01591338322204483,0.0360014150351986,1.6126998264082995
20,38.37933349609375,39.31999969482422,37.82866668701172,38.732666015625,267022500,77.66837646891065,,,,,,,,,,,,,8.006769187368821,0.024854513769903885,0.0200680484997513,1.6065547351351341
21,42.16133117675781,43.391998291015625,41.20000076293945,42.72066879272461,435085500,84.63629717597689,,,,34.837566471099855,,,35.565503433667864,,41.862756339042114,34.837566471099855,27.812376603157595,0.40331117121915705,23.589209401945208,0.10296225866535558,0.11990565924527385,1.824610273724812
22,42.66666793823242,43.53333282470703,42.167999267578125,43.371334075927734,235789500,85.43481702041046,,,,35.5719331741333,,,36.308915875787854,,42.933174696043395,35.5719331741333,28.210691652223208,0.4138791943566867,26.695753278846357,0.015230690473505337,0.15181829095390564,1.7918047939679618
23,44.91266632080078,52.409332275390625,44.90133285522461,52.0,705975000,91.6401000766036,,,,36.69523315429687,,,37.80330483999853,,46.48428902523192,36.69523315429687,26.90617728336183,0.5335328340754135,52.79138328247942,0.19894859376394902,0.3977994086610628,2.3093900372175997
24,58.86399841308594,64.59933471679688,55.59199905395508,59.137332916259766,914082000,93.93994748728689,,,,38.14696645736694,,,39.835117037737696,,51.542214822888106,38.14696645736694,24.75171809184578,0.702296911629484,62.10891901956005,0.13725640223576474,0.5647557683504933,3.0443860857589766
25,54.88399887084961,56.39866638183594,46.94066619873047,48.97999954223633,726357000,66.07927256785636,,,,39.032433128356935,,,40.70605822864233,,52.82774732472822,39.032433128356935,25.237118931985652,0.7068641686264254,28.994302970036617,-0.1717583947927872,0.26456566461181596,3.6981204165997137
26,46.66133117675781,53.05533218383789,45.79999923706055,49.930667877197266,598212000,67.06384621400775,,,,39.88849983215332,,,41.584592480885654,,54.1499234655924,39.88849983215332,25.627076198714242,0.715064426762083,30.891297130377044,0.01940931694254422,0.16877074465886,3.9522070258981157
27,48.70333480834961,51.31666564941406,48.66666793823242,49.871334075927734,255952500,66.93326434409431,5.205681331596779,,,40.77759990692139,,,42.373805966127755,,55.199534667025326,40.77759990692139,26.35566514681745,0.7073459346809683,32.443965598025315,-0.001188323805631053,0.1498685742204937,3.8591920748469386
28,53.33333206176758,54.66600036621094,50.15999984741211,51.41866683959961,370338000,68.64773321556605,5.271915551307288,,,41.754699897766116,,,43.23522128741079,,56.27965926113585,41.754699897766116,27.229740534396385,0.6957281167836543,38.217273274101025,0.031026496329857656,-0.0111794838538537,3.9260116616638148
29,51.25266647338867,52.23400115966797,50.53333282470703,51.62533187866211,175462500,68.8798189104715,5.280215748768569,,,42.586433219909665,,,44.034279438958535,,57.36962522741556,42.586433219909665,27.80324121240377,0.6942676758660585,36.5990515069956,0.004019260937028868,-0.12702637517039994,3.7670585668993235
