date,positive_score,negative_score,neutral_score,compound_score,article_count
2026-02-18,0.11625,0.054875,0.828875,0.10716250000000002,8
2026-02-19,0.14018181818181819,0.04936363636363636,0.8104545454545454,0.26039999999999996,11
2026-02-20,0.15311111111111111,0.0758888888888889,0.7711111111111111,0.16266666666666665,9
2026-02-21,0.164,0.052000000000000005,0.784,0.2847,10
2026-02-22,0.16038461538461538,0.05161538461538462,0.788,0.26532307692307694,13
2026-02-23,0.06494117647058824,0.0541764705882353,0.8809411764705883,0.07574117647058823,17
2026-02-24,0.052333333333333336,0.059,0.8886666666666666,0.016966666666666685,6
2026-02-25,0.0645,0.042124999999999996,0.893375,0.005249999999999998,8
2026-02-26,0.07428571428571429,0.0265,0.8992142857142857,0.06461428571428572,14
2026-02-27,0.11985714285714286,0.07342857142857143,0.8067142857142857,0.15660000000000002,7
2026-03-01,0.14275,0.01425,0.843,0.20417500000000002,8
2026-03-02,0.02014285714285714,0.148,0.831857142857143,-0.2610571428571428,7
2026-03-03,0.065,0.0,0.935,0.1468,3
2026-03-04,0.1001,0.0745,0.8255000000000001,0.05414,10
2026-03-05,0.05625,0.19675,0.747,-0.244225,4
2026-03-06,0.10622222222222222,0.030111111111111113,0.8636666666666666,0.19873333333333332,9
2026-03-07,0.07133333333333333,0.03283333333333333,0.8956666666666666,0.021900000000000003,6
2026-03-08,0.1195,0.04,0.841,0.21075,2
2026-03-09,0.1465,0.00625,0.847125,0.38565,8
2026-03-10,0.225625,0.0,0.774375,0.5227625,8
2026-03-11,0.12971428571428573,0.045,0.8252857142857143,0.22114285714285714,7
