date,positive_score,negative_score,neutral_score,article_count
2026-02-18,0.5017485668261846,0.4141048671056827,0.08414662381013234,3
2026-02-19,0.3185340174473822,0.3995227846316993,0.28194319559261205,10
2026-02-20,0.05887456163764,0.43381125293672085,0.5073141757398844,10
2026-02-21,0.30542239147637573,0.29916773164378746,0.3954098703605788,7
2026-02-22,0.1889939388881127,0.028076631172249716,0.7829294328888258,6
2026-02-23,0.09916163887828588,0.5404402219379941,0.3603981798514724,6
2026-02-24,0.1402938861399889,0.33997009992599486,0.519736029393971,10
2026-02-25,0.31724859602176225,0.06210402556909965,0.6206473797703018,26
2026-02-26,0.34025583359471057,0.4374036288354546,0.22234053851570934,64
2026-02-27,0.2651005103526747,0.397429285762722,0.3374702048707096,34
2026-03-01,0.08487814571708441,0.5329991254024208,0.38212271835654976,10
2026-03-02,0.2710487007978372,0.18861616901122033,0.5403351208660752,40
2026-03-03,0.22370391568118655,0.26533711248555697,0.5109589724625284,37
2026-03-04,0.27975078804884107,0.14128332680556924,0.5789658783003688,40
2026-03-05,0.2483916698716754,0.3115607989128939,0.44004753314305184,43
2026-03-06,0.31300784463588244,0.15611002425878093,0.5308821241920575,39
2026-03-07,0.18888908258328835,0.11527637969702483,0.6958345471570889,15
2026-03-08,0.14454424802375876,0.061934163469983185,0.7935215856717981,23
2026-03-09,0.33910191341811885,0.18833204017331204,0.4725660590441726,141
2026-03-10,0.2562523052547476,0.16725549333932577,0.5764922010130249,128
2026-03-11,0.15458729996367596,0.17967860900991878,0.6657340931597837,43
