date,positive_score,negative_score,neutral_score,compound_score,article_count
2026-02-19,0.0,0.0,1.0,0.0,1
2026-02-20,0.16666666666666666,0.0,0.8333333333333334,0.3595333333333333,3
2026-02-21,0.12985714285714287,0.023857142857142858,0.8462857142857143,0.2806571428571428,7
2026-02-22,0.0,0.104,0.896,-0.1366,2
2026-02-23,0.04442857142857143,0.04242857142857143,0.913142857142857,0.027485714285714297,7
2026-02-24,0.0334,0.0536,0.9129999999999999,-0.028960000000000007,5
2026-02-25,0.14866666666666667,0.048666666666666664,0.8027777777777777,0.20945555555555553,9
2026-02-26,0.0497,0.0371,0.9132,0.04164000000000001,10
2026-02-27,0.189,0.10200000000000001,0.70875,0.197125,4
2026-03-01,0.08225,0.08375,0.8339166666666666,0.007691666666666669,12
2026-03-02,0.090375,0.053000000000000005,0.85675,0.12210000000000001,8
2026-03-03,0.09142857142857143,0.114,0.7945714285714286,0.011342857142857155,7
2026-03-04,0.04516666666666667,0.02266666666666667,0.9322499999999999,0.06349166666666667,12
2026-03-05,0.12328571428571429,0.11242857142857143,0.7642857142857142,0.07151428571428571,7
2026-03-06,0.03557142857142857,0.05042857142857143,0.9139999999999999,-0.012614285714285729,7
2026-03-07,0.028875,0.097,0.874125,-0.1028375,8
2026-03-08,0.11841176470588234,0.02764705882352941,0.8540000000000001,0.21825882352941176,17
2026-03-09,0.1010909090909091,0.039363636363636365,0.8595454545454545,0.16465454545454547,11
2026-03-10,0.13026315789473686,0.017526315789473685,0.8522105263157895,0.22897368421052627,19
2026-03-11,0.11085714285714286,0.05914285714285714,0.8300000000000001,0.18494285714285713,7
