,Open,High,Low,Close,Volume,RSI_14,MACD,MACD_Signal,MACD_Hist,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,BB_Upper,BB_Middle,BB_Lower,BB_Width,Momentum_10,Returns_1d,Returns_5d,ATR_14
2,205.31581827566228,208.3347237610063,204.83915217859575,208.3247985839844,12077100,,,,,,,,,,,,,,,,,0.0
3,205.77259436694095,208.9404526618874,205.51438828470637,207.2224578857422,11188400,,,,,,,,,,,,,,,-0.005291452125407048,,0.0
4,205.2661176140365,211.30394242957985,205.08737354871448,211.1251983642578,17058900,,,,,,,,,,,,,,,0.018833578745926838,,0.0
5,211.34372103468303,213.09150684087672,210.2811361194864,211.58204650878903,14912400,,,,,,,,,,,,,,,0.0021638731334334693,,0.0
6,211.52246449364455,214.73999476071972,211.13517044646403,213.72706604003903,13475000,,,,,,,,,,,,,,,0.010138003515155924,,0.0
7,216.0309374043873,216.86512191418717,214.77968336909768,216.78567504882812,12642800,,,,,,,,,,,,,,,0.014310817368428763,0.04061387085144741,0.0
8,217.67943940712337,218.35473022852156,215.91178821270205,216.54734802246097,12119400,,,,,,,,,,,,,,,-0.0010993670421880486,0.044999418653070444,0.0
9,218.0766777515335,220.43023261072588,217.6893837221355,220.3706512451172,14463400,,,,,,,,,,,,,,,0.01765573791399966,0.043791328332623,0.0
10,220.0727501401904,220.8374130949012,217.1134258616862,217.5404357910156,13288900,,,,,,,,,,,,,,,-0.012842978128487559,0.028161128888499753,0.0
11,219.0796735588214,220.14224330523513,218.6129326417324,219.6159210205078,10036500,,,,,,,,,,,,,,,0.009540687100057399,0.0275531550101642,0.0
12,221.0260820024648,221.0856633695372,218.86119636353655,220.23162841796875,10015300,,,,,,,,,,,,,,5.71551246655074,0.0028035644893134037,0.0158956691597103,0.0
13,220.4897919973083,220.7479829401893,219.00019739381185,220.5990295410156,15905900,,,,,,,,,,,,,,6.455174690886521,0.0016682486783849981,0.01871037237608819,0.0
14,220.6189068065152,220.82744157647545,217.599986430176,219.9039001464844,14275800,,,,,,,,,,,,,,4.158054959920299,-0.0031510990595811084,-0.0021180274959282652,0.0
15,220.7678670861368,221.20481729786243,219.74501325093416,219.7847442626953,12212800,74.22222766368482,,,,,,,,,,,,,3.876840161655938,-0.0005418543450558255,0.010316741637107718,3.1430420605268483
16,219.21868788922464,219.95356006699245,217.74895868663,218.2355499267578,11195000,65.69517270317652,,,,,,,,,,,,,2.10945855864328,-0.007048689121415319,-0.0062853871765568,3.0760105833722484
17,219.26833798403877,220.2415355901936,214.61086956802987,216.4281768798828,11905800,57.40870550059604,,,,,,,,,,,,,-0.16490857565417583,-0.008281753579934992,-0.01727023300607633,3.258485971857354
18,211.6217599875433,214.56121837952216,211.02591604576713,213.3794708251953,13810700,46.7066517562031,,,,,,,,,,,,,-1.462902790634532,-0.014086456295288818,-0.032727064714842546,3.4116127477329488
19,214.64065727268016,217.2226273871776,212.0388368063511,216.2792053222656,13413800,55.25134911507802,,,,,,,,,,,,,-1.8566201532438618,0.013589566446370105,-0.016483085665166874,3.5381968786682023
20,219.90392675979615,222.64477585299144,216.93466221079436,221.68150329589844,33181300,66.14268545899944,,,,,,,,,,,,,1.9035851839797897,0.02497835131945836,0.008630075938919735,3.740152139529463
21,205.0973333453647,209.96333677110164,203.3296821317416,208.07652282714844,48775500,39.8427529740383,,,,215.87206649780273,,,215.3022727104714,,224.76421747961083,215.87206649780273,206.97991551599463,0.08238352581758057,-5.254354119563955,-0.06137174399521372,-0.04655074346511767,4.783842784145703
22,206.98414497999343,207.24235109674964,199.66527441700927,200.50938415527344,31359900,32.17868203774336,,,,215.48129577636718,,,213.89342618140495,,226.17099610964348,215.48129577636718,204.79159544309087,0.0992169672524189,-8.95522791361523,-0.03636709499495583,-0.0735523116911172,5.04294318600238
23,202.0287622351865,203.71696649755063,201.0952804840247,202.7735595703125,15495600,36.13710193328672,,,,215.25885086059571,,,212.83439126606282,,226.77958857520613,215.25885086059571,203.7381131459853,0.10704078060949411,-8.080484310285163,0.011292116947931419,-0.04970445944901314,4.911845982879152
24,205.18669615551536,209.1390982668606,203.77654834930945,208.3744354248047,19628900,44.73061646443515,,,,215.12131271362304,,,212.4096335668954,,226.89897585652926,215.12131271362304,203.34364957071682,0.1094978734960125,-5.242955997596951,0.02762133222083163,-0.036548913177679054,5.015681176712648
25,211.0358109395381,211.25428600997665,207.2621836929207,208.6524658203125,12538200,45.12535987803958,,,,214.9748336791992,,,212.05180806722083,,226.99529289046694,214.9748336791992,202.95437446793147,0.11183131537345922,-5.0650824194954485,0.001334282657759811,-0.05877367882242701,4.942568401022884
26,209.0099907941408,209.72499743469825,207.887824647972,209.38735961914065,10567500,46.2187574183332,,,,214.7578483581543,,,211.79805107216558,,227.01491560891432,214.7578483581543,202.50078110739426,0.114147793381863,-4.0544220731162754,0.003522094962735922,0.006299782282891853,4.720754428573125
27,208.84116933586483,211.34369254725345,208.4737256912429,210.85708618164065,12242500,48.43177680888965,-1.1515219713867566,,,214.46141891479493,,,211.70843536830606,,226.7945040448082,214.46141891479493,202.12833378478166,0.11501448784979999,-2.5741060053072955,0.00701917520318962,0.05160707101047213,4.588555316247228
28,210.05273582248736,212.31691874414776,209.19870085007565,211.58204650878903,11856400,49.534859959317956,-0.9990010259749056,,,214.21315383911133,,,211.69639833406634,,226.56816835448078,214.21315383911133,201.85813932374188,0.11535252895486432,-0.842360471443274,0.003438159657218609,0.043440017313609136,4.48353121466329
29,208.7319513685439,209.3973018780492,205.0774710016734,205.7527618408203,25030800,41.79345081194249,-1.3331340932426485,,,213.48225936889648,,,211.13033771566197,,226.021886494955,213.48225936889648,200.94263224283796,0.1174769946985627,-4.867062215140109,-0.027550941888288105,-0.01258155098843905,4.6278915212670295
30,206.40818657433556,209.7548046184871,205.9612960241213,209.29798889160156,13813700,47.1981518866541,-1.2969167134813233,,,213.07013702392578,,,210.9558283038467,,225.59094905280435,213.07013702392578,200.54932499504721,0.117527610426914,-5.586173956862551,0.017230519867937444,0.003093771591681005,4.583188039581297
31,208.06661493243828,212.84324670717064,207.72896191355557,211.6614990234375,15396600,50.49819033277886,-1.0652194770719632,,,212.67241592407225,,,211.02303503904582,,224.83651885633722,212.67241592407225,200.5083129918073,0.11439285983009441,1.7229123918353555,0.011292560164350318,0.010860920202792279,4.621123522012281
