date,positive_score,negative_score,neutral_score,article_count
2026-01-28,0.36752613208123613,0.13694583225463117,0.4955280455095427,7
2026-01-29,0.16753505961969495,0.3182768146507442,0.5141881175804883,8
2026-01-30,0.15458883934964737,0.2905168857735892,0.5548942958315214,6
2026-01-31,0.03337570279836655,0.5326812341809273,0.43394307792186737,2
2026-02-01,0.3805457940325141,0.030530401039868593,0.5889237821102142,4
2026-02-02,0.0964766398537904,0.7250458360649645,0.1784775136038661,4
2026-02-03,0.25949427857995033,0.07760767568834126,0.6628980301320553,4
2026-02-04,0.24382157996296883,0.29493266018107533,0.4612457025796175,4
2026-02-05,0.05406866719325384,0.035869176189104714,0.9100621342658997,3
2026-02-06,0.17494035549461842,0.11822876371443272,0.7068308845162392,5
2026-02-07,0.2387658253312111,0.04788441210985184,0.713349761068821,10
2026-02-08,0.210848743095994,0.15354981739073992,0.6356014211972555,6
2026-02-09,0.05438407510519028,0.024456695653498173,0.9211592376232147,2
2026-02-10,0.09507106989622116,0.07159888790920377,0.833330050110817,4
2026-02-11,0.5126344375312328,0.032964786514639854,0.454400765709579,2
2026-02-12,0.1066257692873478,0.017153238877654076,0.8762210011482239,5
2026-02-13,0.13036758080124855,0.458564187400043,0.4110682103782892,2
2026-02-14,0.21409352612681687,0.6437647400889546,0.14214173797518015,4
2026-02-15,0.1558994172140956,0.2747147025540471,0.5693858882412315,10
2026-02-16,0.11341153830289841,0.01527763344347477,0.8713108003139496,2
2026-02-17,0.09330245479941368,0.014359168242663145,0.8923383951187134,2
2026-02-18,0.0630729952827096,0.041534995660185814,0.8953920006752014,2
2026-02-19,0.24202359095215797,0.42731691151857376,0.3306595403701067,4
2026-02-21,0.2468684505050381,0.3339940632383029,0.41913744683067006,3
2026-02-22,0.06775415781885386,0.9044665694236755,0.027779369615018368,2
2026-02-24,0.05323655903339386,0.05373495817184448,0.8930284976959229,1
2026-02-25,0.05501393202160086,0.03365156866077866,0.9113344890730721,7
2026-02-26,0.23067382611334325,0.14355307035148143,0.6257730908691883,5
2026-03-01,0.3035299985979994,0.3020594598104556,0.39441053569316864,3
2026-03-02,0.4805526740849018,0.21786157377064228,0.3015857610851526,5
2026-03-03,0.012091766111552715,0.9544890522956848,0.03341913968324661,1
2026-03-04,0.19830005848780274,0.19052025908604264,0.6111797019839287,4
2026-03-05,0.11964162392541766,0.36515169516205787,0.5152066750451922,10
2026-03-06,0.4552868554989497,0.02175141591578722,0.5229616860548655,3
2026-03-07,0.2109577190130949,0.05287787943546261,0.7361643782683781,7
2026-03-08,0.1821468025445938,0.025431647896766663,0.7924215793609619,2
2026-03-09,0.06183889247477055,0.42792879696935415,0.5102322824299336,5
2026-03-10,0.049648256307201724,0.5556973519601992,0.3946543743035623,7
2026-03-11,0.04249567690898071,0.20471760656007312,0.7527867355807261,11
