stock,model,rmse,mae,mape,directional_accuracy,beat_naive,beat_buy_hold
TSLA,Linear Regression,12.55920191904816,9.785862813533898,2.826916994088263,48.698884758364315,False,True
TSLA,Random Forest,17.919044243313262,13.975400548479639,3.87313617303015,46.468401486988846,False,True
TSLA,XGBoost,25.020388180439394,20.446464482060186,5.527925918019461,51.6728624535316,False,True
NVDA,Linear Regression,3.9743859869350042,2.9988157884566626,1.9769525809691633,45.72490706319702,False,True
NVDA,Random Forest,36.684903566029355,29.870533350392126,16.770554387095498,46.09665427509294,False,True
NVDA,XGBoost,34.57920740409691,28.22761801260489,15.915461413631302,48.698884758364315,False,True
META,Linear Regression,15.60957458486103,10.54974067734517,1.6175927076289947,49.07063197026022,False,True
META,Random Forest,48.285911604686895,37.79201792534747,5.453717971413944,44.98141263940521,False,True
META,XGBoost,61.43254352870963,47.739112006293404,6.809548838066417,47.58364312267658,False,True
AAPL,Linear Regression,4.420799654301743,2.923741516817361,1.2839145473425633,53.159851301115246,False,True
AAPL,Random Forest,14.209834738668706,10.25913480727136,4.091873432385758,49.44237918215613,False,True
AAPL,XGBoost,16.967449488221074,12.053153313530817,4.742495067494324,54.646840148698885,False,True
MSFT,Linear Regression,7.376518668331593,5.087016919243607,1.141318725989021,46.84014869888476,False,True
MSFT,Random Forest,42.61453690406979,33.61868559722407,6.853074784026056,48.3271375464684,False,True
MSFT,XGBoost,42.88819845531352,34.10143263075087,6.924535763754597,46.468401486988846,False,True
GOOGL,Linear Regression,4.335354546080006,3.202132181279943,1.4308827757270017,51.11111111111111,False,True
GOOGL,Random Forest,69.31121520361225,47.29605643323582,16.24293897067115,47.40740740740741,False,True
GOOGL,XGBoost,72.42451598274327,50.20942828752018,17.429589100204108,53.333333333333336,False,True
AMZN,Linear Regression,4.573154103393477,3.263982437168927,1.5260264115340787,48.148148148148145,True,True
AMZN,Random Forest,8.03628202009092,6.365239985668485,2.9888643678858795,50.74074074074074,False,True
AMZN,XGBoost,8.768609898227622,6.98558241502825,3.2718593439625527,52.22222222222223,False,True
SPY,Linear Regression,6.796114576064003,4.458304609470816,0.7359845320176633,47.40740740740741,False,True
SPY,Random Forest,64.25929280108069,52.12769460172109,7.861951469672275,50.0,False,False
SPY,XGBoost,64.79934551829102,52.23069599897659,7.868275094663973,47.77777777777778,False,False
QQQ,Linear Regression,7.463470636393342,5.288525894962773,0.9818511569010022,46.666666666666664,False,True
QQQ,Random Forest,66.34855953231704,54.431883715020604,9.158636954197458,47.03703703703704,False,True
QQQ,XGBoost,71.01250769784667,59.01656563959438,9.930474915948574,47.40740740740741,False,False
