stock,model,feature,importance,category
META,Random Forest,Open,0.09708774442232813,Price
META,Random Forest,EMA_20,0.04828386670456437,Technical
META,Random Forest,SMA_50,0.006945179566078398,Technical
META,Random Forest,EMA_50,0.005530369557026781,Technical
META,Random Forest,SMA_200,0.004655221480935723,Technical
META,Random Forest,BB_Lower,0.0021494409185200624,Technical
META,Random Forest,SMA_20,0.0009362592063776182,Technical
META,Random Forest,Momentum_10,0.00026081606021577294,Technical
META,Random Forest,Volume,0.0002599350532314648,Price
META,Random Forest,BB_Width,0.0002028573223801678,Technical
META,Random Forest,Returns_5d,0.0001991373611737595,Technical
META,Random Forest,RSI,0.00018592265793624315,Technical
META,Random Forest,Returns_1d,0.0001737147241639974,Technical
META,Random Forest,MACD_Signal,0.00016569433407286632,Technical
META,Random Forest,MACD,0.000100366040542825,Technical
META,Random Forest,positive_score,0.0,Sentiment
META,Random Forest,negative_score,0.0,Sentiment
META,Random Forest,neutral_score,0.0,Sentiment
META,Random Forest,article_count,0.0,Sentiment
META,XGBoost,High,0.627985417842865,Price
META,XGBoost,Close,0.17158648371696472,Price
META,XGBoost,Low,0.11253193765878677,Price
META,XGBoost,Open,0.05510767921805382,Price
META,XGBoost,SMA_50,0.023490041494369507,Technical
META,XGBoost,BB_Upper,0.0033058940898627043,Technical
META,XGBoost,BB_Lower,0.0018163666827604175,Technical
META,XGBoost,SMA_20,0.0017179003916680813,Technical
META,XGBoost,EMA_20,0.0009421108406968415,Technical
META,XGBoost,SMA_200,0.00032335452851839364,Technical
META,XGBoost,EMA_50,0.0003162063076160848,Technical
META,XGBoost,Momentum_10,0.00015414149675052613,Technical
META,XGBoost,Volume,0.00013909592234995216,Price
META,XGBoost,Returns_5d,0.0001304210745729506,Technical
META,XGBoost,Returns_1d,0.00010028294491348788,Technical
META,XGBoost,BB_Width,9.878865967039019e-05,Technical
META,XGBoost,MACD,9.367162419948727e-05,Technical
META,XGBoost,RSI,8.051697659539059e-05,Technical
META,XGBoost,MACD_Signal,7.978075154824182e-05,Technical
META,XGBoost,positive_score,0.0,Sentiment
META,XGBoost,negative_score,0.0,Sentiment
META,XGBoost,neutral_score,0.0,Sentiment
META,XGBoost,article_count,0.0,Sentiment
AAPL,Random Forest,Close,0.6218120688962601,Price
AAPL,Random Forest,Low,0.29290486070270455,Price
AAPL,Random Forest,High,0.065165806241959,Price
AAPL,Random Forest,Open,0.009638799347541267,Price
AAPL,Random Forest,BB_Upper,0.0044778230454680405,Technical
AAPL,Random Forest,EMA_20,0.0011168583858374953,Technical
AAPL,Random Forest,MACD,0.0006647257529957904,Technical
AAPL,Random Forest,SMA_200,0.0005903571732136704,Technical
AAPL,Random Forest,Returns_1d,0.0005076278632440554,Technical
AAPL,Random Forest,Volume,0.0004910869881925974,Price
AAPL,Random Forest,BB_Width,0.0004219431274266947,Technical
AAPL,Random Forest,Momentum_10,0.00035299084859603054,Technical
AAPL,Random Forest,EMA_50,0.0003447346316749486,Technical
AAPL,Random Forest,MACD_Signal,0.000340682859530233,Technical
AAPL,Random Forest,Returns_5d,0.000309177450118529,Technical
AAPL,Random Forest,RSI,0.00025352834850082384,Technical
AAPL,Random Forest,BB_Lower,0.00023777734441354241,Technical
AAPL,Random Forest,SMA_50,0.00018918915381662101,Technical
AAPL,Random Forest,SMA_20,0.00017996183850606812,Technical
AAPL,Random Forest,positive_score,0.0,Sentiment
AAPL,Random Forest,negative_score,0.0,Sentiment
AAPL,Random Forest,neutral_score,0.0,Sentiment
AAPL,Random Forest,article_count,0.0,Sentiment
AAPL,XGBoost,Low,0.6098648309707642,Price
AAPL,XGBoost,Close,0.29359424114227295,Price
AAPL,XGBoost,High,0.043185990303754807,Price
AAPL,XGBoost,SMA_200,0.029617413878440857,Technical
AAPL,XGBoost,Open,0.018744129687547684,Price
AAPL,XGBoost,BB_Upper,0.0012783757410943508,Technical
AAPL,XGBoost,BB_Lower,0.0007512558368034661,Technical
AAPL,XGBoost,SMA_50,0.000392763817217201,Technical
AAPL,XGBoost,EMA_50,0.0003072102554142475,Technical
AAPL,XGBoost,Returns_1d,0.0002786616678349674,Technical
