Price,Open,High,Low,Close,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,150.41530750587003,152.26257663838246,149.9890168529734,152.1583709716797,22622100
2020-01-03,149.9795640082844,151.5236842826628,149.7332517957889,150.2637481689453,21116200
2020-01-06,148.80487615350108,150.71846465674278,148.26489736372372,150.6521453857422,20813700
2020-01-07,150.92688967276914,151.25844269298102,149.03225142604057,149.27854919433594,21634100
2020-01-08,150.55741741152548,152.32891395537885,149.62904874222338,151.65631103515625,27746500
2020-01-09,153.31411932222434,153.674105204978,152.5467931657798,153.5509490966797,21385000
2020-01-10,154.2425275193915,154.62144943814087,152.68891006966302,152.84048461914062,20725900
2020-01-13,153.23835440536027,154.70670211208954,152.76469478737948,154.67828369140625,21626500
2020-01-14,154.7824534261497,154.98139677965818,153.20043240422595,153.58883666992188,23477400
2020-01-15,154.05304542489407,155.30351372144347,154.00569102831227,154.5835418701172,21417900
2020-01-16,155.6919174437164,157.48235016664844,155.38876835912026,157.41603088378906,23865400
2020-01-17,158.60017747170502,158.64754632231816,156.71500707487465,158.2970428466797,34371700
2020-01-21,157.89913292781256,159.32959395002115,157.66230316439436,157.72862243652344,29517200
2020-01-22,158.58121907428676,158.66648878308445,156.95182898866327,156.9707794189453,24138800
2020-01-23,157.43496426740944,158.0128294992705,156.5634324259856,157.93704223632812,19680800
2020-01-24,158.68539908526893,158.70434951248504,155.78660528365143,156.34552001953125,24918100
2020-01-27,152.6604514156532,154.7729831980211,151.76050125459204,153.73092651367188,32078100
2020-01-28,155.15193497322656,157.02762291226713,154.47934644660026,156.74343872070312,24899900
2020-01-29,158.9980543059086,159.8601182647004,156.96132376629157,159.18751525878906,34754500
2020-01-30,164.88094084552733,164.88094084552733,161.79267041808004,163.67784118652344,51597500
2020-01-31,163.13781757767464,163.31779605239475,160.6463638869867,161.26211547851562,36142700
2020-02-03,161.45160480639652,165.30720090044179,161.423186386706,165.1935272216797,30107000
2020-02-04,167.80811178619967,171.1237287743186,167.0218351658526,170.63111877441406,36433300
2020-02-05,174.33514706166798,174.4961895872338,169.01121791022703,170.42271423339844,39186300
2020-02-06,171.43633505355797,174.1362002133704,170.57427122162437,173.95620727539062,27751400
2020-02-07,173.21733945607366,175.85088594864706,172.86682148638042,174.20254516601562,33529100
2020-02-10,173.90884037900125,178.89173359155058,173.59622334452445,178.7591094970703,35844300
2020-02-11,180.60635337040168,180.6537222092398,173.83302860981544,174.7235107421875,53159900
2020-02-12,175.80351802661943,176.05929828587423,172.27002107298435,174.97935485839844,47062900
2020-02-13,173.4351820239361,176.4192313976913,173.2362386533794,174.03199768066406,35295800
2020-02-14,173.59622590515036,175.64243864012167,173.0278286604553,175.58560180664062,23149500
2020-02-18,175.83189435263932,177.81178775317247,175.72768867603537,177.36654663085938,27792200
2020-02-19,178.6394704558321,178.75345463359423,177.12912212277422,177.89854431152344,29997500
2020-02-20,177.5850405545757,177.87001544081576,172.02809549780588,175.18177795410156,36862400
2020-02-21,173.99438799966083,174.30785891305882,168.3709427375459,169.64381408691406,48572600
2020-02-24,159.36585498840046,165.80622141128146,155.0532703487702,162.32955932617188,68311100
2020-02-25,165.47368834247865,166.08162784533368,159.25179866040887,159.65077209472656,68073300
2020-02-26,161.20863524213226,164.5807916536019,159.78377552086138,161.6455841064453,56206100
2020-02-27,155.13875963759634,158.66290516046735,150.06624715653416,150.2562255859375,93174900
2020-02-28,144.77525436429954,155.50920080368482,144.38578921735436,153.89434814453125,97012700
2020-03-02,157.02908558517254,164.25787667339787,154.1793652796082,164.13438415527344,71030800
2020-03-03,165.09377523321822,166.23366029061174,154.13184460346224,156.26913452148438,71677000
2020-03-04,160.0497561503621,162.14904146075395,157.3235145582892,162.00656127929688,49814400
2020-03-05,157.73198314771483,162.31052511256803,157.39001621509487,157.9409637451172,47817300
2020-03-06,154.46433707133426,154.939290445947,148.1854528791767,153.4764404296875,72821100
2020-03-09,143.435889783358,149.84775902864055,142.48598322850134,143.07492065429688,70419300
2020-03-10,150.2372411030131,152.96346858405525,144.93676019104754,152.85897827148438,65354400
2020-03-11,149.25884709378187,149.80028638541867,143.5783944896267,145.93417358398438,56371600
2020-03-12,138.0214636849162,145.78220065599004,131.63808870236042,132.0940399169922,93226400
2020-03-13,140.11122857796408,153.79938665871734,133.68035660445514,150.87367248535156,92727400
2020-03-16,132.98691081630918,141.86854244359614,128.23737828715525,128.63633728027344,87905900
2020-03-17,132.98692056268771,140.111219878546,128.23738768544888,139.22781372070312,81059800
2020-03-18,131.08709725869974,138.68634927369683,128.25637994155176,133.3668670654297,81593200
2020-03-19,135.61817982543892,142.62848121921525,132.03702760813172,135.56118774414062,85922700
2020-03-20,138.68638351717573,139.73128672500724,129.054329789664,130.46969604492188,84866200
2020-03-23,130.14669177586433,133.52837128420802,125.881620623842,129.1682891845703,78975200
2020-03-24,136.54903675934335,142.10599466175267,134.19327308795033,140.9091033935547,82516700
2020-03-25,141.45059151845882,146.59908341404636,137.20450796995928,139.56027221679688,75638200
2020-03-26,140.96611636735446,148.81235319825882,140.9376203324005,148.28990173339844,64568100
2020-03-27,144.1483307730437,147.1310370046496,141.7260659731949,142.20101928710938,57042300
2020-03-30,144.8037706334884,152.55501230058746,142.49548995938957,152.2035369873047,63420300
2020-03-31,151.41503688494674,156.52553669024326,148.71730685533282,149.80970764160156,77927200
2020-04-01,145.33572706359047,149.8477839495516,143.26493738693705,144.4903106689453,57969900
2020-04-02,144.25286619835128,147.69152462834958,142.82800581096907,147.4825439453125,49630700
2020-04-03,147.3305771974076,149.496363934637,144.5663444294282,146.1241912841797,41243300
2020-04-06,152.28900906098028,158.15942396618635,149.68626016931051,156.9910430908203,67111700
2020-04-07,161.09466920123717,161.48413441584339,155.0817582215985,155.3002471923828,62769000
2020-04-08,157.37099056058554,158.3208969546214,155.30969542485835,156.85804748535156,48318200
2020-04-09,158.02644076267168,158.98584107836996,155.14822532115448,156.8675537109375,51385100
2020-04-13,156.1171440984928,157.27603122535353,154.16983281192037,157.21902465820312,41905300
2020-04-14,160.53422101947862,165.04627752742255,159.58431438622728,164.998779296875,52874300
2020-04-15,162.62396884625673,164.87525681599098,160.76216046418114,163.26991271972656,40940800
2020-04-16,165.5687281288851,168.3994458213664,164.23885015327437,168.1714630126953,50479600
2020-04-17,170.50823043333762,170.98318372145278,167.06006492340595,169.6533203125,52765600
2020-04-20,167.78197896307506,169.7957759755915,166.2241329828521,166.29061889648438,36669600
2020-04-21,164.8087925244848,164.97027490463032,157.78898343996238,159.413330078125,56203700
2020-04-22,162.8044987799114,165.28375569511513,162.26305953111464,164.8278045654297,34620200
2020-04-23,165.38824370404214,166.2906521024293,162.34854539106306,162.83299255371094,32790800
2020-04-24,163.44092549392695,165.81569196802081,162.15856029457086,165.8061981201172,34277600
2020-04-27,167.74397856900762,168.03844725298504,164.61879268800635,165.3312225341797,33194400
2020-04-28,166.79412509359793,166.87011937399518,160.9047060598675,161.3036651611328,34392700
2020-04-29,164.54281734751044,168.779392536246,163.26994602134675,168.5419158935547,51286600
